array_type	array_size	frequency	config	elapsed_time
random_seq	1000000	1.6GHz	0x69	
random_seq	1000000	1.6GHz	0xf0	
random_seq	1000000	1.6GHz	0xf0	
random_seq	1000000	1.6GHz	0xf0	
random_seq	1000000	1.6GHz	0xf0	
random_seq	1000000	1.6GHz	0xf0	
random_seq	1000000	1.6GHz	0x0f	
random_seq	1000000	1.6GHz	0x0f	
random_seq	1000000	1.6GHz	0x0f	
random_seq	1000000	1.6GHz	0x0f	
random_seq	1000000	1.6GHz	0x0f	
random_seq	1000000	1.6GHz	0xff	
random_seq	1000000	1.6GHz	0xff	
random_seq	1000000	1.6GHz	0xff	
random_seq	1000000	1.6GHz	0xff	
random_seq	1000000	1.6GHz	0xff	
random_seq	1000000	1.8GHz	0x09	
random_seq	1000000	1.8GHz	0x09	
random_seq	1000000	1.8GHz	0x09	
random_seq	1000000	1.8GHz	0x09	
random_seq	1000000	1.8GHz	0x09	
random_seq	1000000	1.8GHz	0x60	
random_seq	1000000	1.8GHz	0x60	
random_seq	1000000	1.8GHz	0x60	
random_seq	1000000	1.8GHz	0x60	
random_seq	1000000	1.8GHz	0x60	
random_seq	1000000	1.8GHz	0x69	
random_seq	1000000	1.8GHz	0x69	
random_seq	1000000	1.8GHz	0x69	
random_seq	1000000	1.8GHz	0x69	
random_seq	1000000	1.8GHz	0x69	
random_seq	1000000	1.8GHz	0xf0	
random_seq	1000000	1.8GHz	0xf0	
random_seq	1000000	1.8GHz	0xf0	
random_seq	1000000	1.8GHz	0xf0	
random_seq	1000000	1.8GHz	0xf0	
random_seq	1000000	1.8GHz	0x0f	
random_seq	1000000	1.8GHz	0x0f	
random_seq	1000000	1.8GHz	0x0f	
random_seq	1000000	1.8GHz	0x0f	
random_seq	1000000	1.8GHz	0x0f	
random_seq	1000000	1.8GHz	0xff	
random_seq	1000000	1.8GHz	0xff	
random_seq	1000000	1.8GHz	0xff	
random_seq	1000000	1.8GHz	0xff	
random_seq	1000000	1.8GHz	0xff	
